order_quarter,customer_status,customer_count,is_measurable
2022-04-01,new_customers,264.0,True
2022-04-01,reactivated_customers,0.0,True
2022-04-01,churned_customers,155.0,True
2022-04-01,retained_customers,0.0,True
2022-07-01,new_customers,545.0,True
2022-07-01,reactivated_customers,0.0,True
2022-07-01,churned_customers,484.0,True
2022-07-01,retained_customers,109.0,True
2022-10-01,new_customers,603.0,True
2022-10-01,reactivated_customers,1.0,True
2022-10-01,retained_customers,170.0,True
2022-10-01,churned_customers,603.0,True
2023-01-01,reactivated_customers,14.0,True
2023-01-01,retained_customers,171.0,True
2023-01-01,new_customers,589.0,True
2023-01-01,churned_customers,634.0,True
2023-04-01,churned_customers,722.0,True
2023-04-01,retained_customers,140.0,True
2023-04-01,reactivated_customers,14.0,True
2023-04-01,new_customers,798.0,True
2023-07-01,churned_customers,737.0,True
2023-07-01,reactivated_customers,6.0,True
2023-07-01,retained_customers,230.0,True
2023-07-01,new_customers,786.0,True
2023-10-01,new_customers,782.0,True
2023-10-01,reactivated_customers,15.0,True
2023-10-01,churned_customers,797.0,True
2023-10-01,retained_customers,285.0,True
2024-01-01,new_customers,870.0,True
2024-01-01,retained_customers,285.0,True
2024-01-01,reactivated_customers,26.0,True
2024-01-01,churned_customers,884.0,True
2024-04-01,reactivated_customers,277.0,True
2024-04-01,churned_customers,1134.0,True
2024-04-01,retained_customers,297.0,True
2024-04-01,new_customers,1006.0,True
2024-07-01,reactivated_customers,968.0,True
2024-07-01,churned_customers,4055.0,True
2024-07-01,retained_customers,446.0,True
2024-07-01,new_customers,3543.0,True
2024-10-01,reactivated_customers,1455.0,True
2024-10-01,churned_customers,4774.0,True
2024-10-01,new_customers,3348.0,True
2024-10-01,retained_customers,902.0,True
2025-01-01,retained_customers,931.0,True
2025-01-01,reactivated_customers,1804.0,True
2025-01-01,new_customers,3166.0,True
2025-01-01,churned_customers,5244.0,True
2025-04-01,retained_customers,657.0,True
2025-04-01,new_customers,2819.0,True
2025-04-01,reactivated_customers,1583.0,True
2025-04-01,churned_customers,,False
